"id","product_code","product_name","product_type","product_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"56","12220006420","MDA-控制面板组件 乌克兰1400洗干 巴赫银12138100A40101","-1","MDA-控制面板组件 乌克兰1400洗干 巴赫银12138100A40101","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"57","12220005723","MDA-东芝T07控制面板组件 1400单洗巴赫银 12138100022696","-1","MDA-东芝T07控制面板组件 1400单洗巴赫银 12138100022696","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"58","12220005364","MDA-东芝T07控制面板组件 1400洗干 巴赫银12138100022563","-1","MDA-东芝T07控制面板组件 1400洗干 巴赫银12138100022563","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"59","12220007095","MDA-东芝T07控制面板组件1400单洗中东巴赫银12138100A40100","-1","MDA-东芝T07控制面板组件1400单洗中东巴赫银12138100A40100","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"60","12220006239","RFS-玻璃钢天线罩 30046819","-1","RFS-玻璃钢天线罩 30046819","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"61","12220001662","RFS-玻璃钢天线罩 20043294","-1","RFS-玻璃钢天线罩 20043294","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"62","12220003537","RFS-天线罩 30041427","-1","RFS-天线罩 30041427","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"63","12220004290","ASZ-天线罩 A991-1779-01","-1","ASZ-天线罩 A991-1779-01","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"64","12220005101","ASZ-天线罩 657347-2","-1","ASZ-天线罩 657347-2","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"65","12220007431","RFS-PCB板30035276成品","-1","RFS-PCB板30035276成品","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"66","12220007433","RFS-PCB板30035275成品","-1","RFS-PCB板30035275成品","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
