"id","customer_name","customer_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"110","代傲电子控制(南京)有限公司","代傲电子控制(南京)有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"111","瑞声科技（沭阳）有限公司","瑞声科技（沭阳）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"112","昆山立讯射频科技有限公司","昆山立讯射频科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"113","无锡小天鹅通用电器有限公司","无锡小天鹅通用电器有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"114","上海鸿洛通信电子有限公司","上海鸿洛通信电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"115","南京尤欧电子有限公司","南京尤欧电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"116","苏州恒辉科技有限公司","苏州恒辉科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"117","LG ELECTRONICS INC","LG ELECTRONICS INC","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"118","昆山瀚德通信科技有限公司","昆山瀚德通信科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"119","深圳市鑫龙通信技术有限公司","深圳市鑫龙通信技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"120","深圳市兆威机电股份有限公司","深圳市兆威机电股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"121","常州市美特精密电机有限公司","常州市美特精密电机有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"122","万奇特互连电子（上海）有限公司","万奇特互连电子（上海）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"123","江苏协和电子股份有限公司","江苏协和电子股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"124","苏州迪飞达科技股份有限公司","苏州迪飞达科技股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"125","惠而浦（中国）股份有限公司","惠而浦（中国）股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"126","万信达（广州）科技制品有限公司","万信达（广州）科技制品有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"127","深圳市众恒世讯科技股份有限公司","深圳市众恒世讯科技股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"128","南京澳博阳射频技术有限公司","南京澳博阳射频技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"129","泰兴开广塑胶有限公司","泰兴开广塑胶有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"130","午星精密科技（滁州）有限公司","午星精密科技（滁州）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
